Entry	is	we	on	that
Discovering Congestion Propagation Patterns in Spatio-Temporal Traffic Data	3	1	2	0
Optimal Pick up Point Selection for Effective Ride Sharing	4	7	3	4
Local Gaussian Processes for Efficient Fine-Grained Traffic Speed Prediction	2	4	2	3
Detecting and Analyzing Urban Regions with High Impact of Weather Change on Transport	2	3	5	3
Modeling Urban Behavior by Mining Geotagged Social Data	1	3	3	3
Activity-Based Human Mobility Patterns Inferred from Mobile Phone Data: A Case Study of Singapore	1	3	1	2
Effective Urban Structure Inference from Traffic Flow Dynamics	4	4	1	5
Significant Linear Hotspot Discovery	4	1	3	1
Visual Analysis of Multiple Route Choices Based on General GPS Trajectories	2	3	4	0
Guest Editorial: Urban Computing	0	0	0	0
Service Rating Prediction by Exploring Social Mobile Users&#x2019; Geographical Locations	1	4	1	2
Retrieving Objects by Partitioning	5	1	3	0
Tales of Two Cities: Using Social Media to Understand Idiosyncratic Lifestyles in Distinctive Metropolitan Areas	1	5	0	1
Learning to Classify Fine-Grained Categories with Privileged Visual-Semantic Misalignment	3	0	3	1
The Habits of Highly Effective Researchers: An Empirical Study	1	4	0	3
SocialQ&A: An Online Social Network Based Question and Answer System	2	4	0	2
Toward Efficient and Flexible Metadata Indexing of Big Data Systems	6	2	0	3
DiP-SVM : Distribution Preserving Kernel Support Vector Machine for Big Data	0	4	3	3
Big Scholarly Data: A Survey	1	4	0	0
Guest Editorial: Big Media Data: Understanding, Search, and Mining	0	0	0	0
Guest Editorial: Big Scholar Data Discovery and Collaboration	0	0	0	0
State of the Journal Editorial	0	0	1	0
2016 Reviewers List*	0	0	0	0
2016 Index IEEE Transactions on Big Data Vol. 2	0	0	1	0
Efficient Image Geotagging Using Large Databases	1	2	3	3
The Memory Challenge in Reduce Phase of MapReduce Applications	2	2	2	2
A Hierarchical Distributed Processing Framework for Big Image Data	3	0	2	0
Performance Modeling and Predictive Scheduling for Distributed Stream Data Processing	1	4	2	0
Scalable Nearest Neighbor Sparse Graph Approximation by Exploiting Graph Structure	2	7	2	1
Fuzzy Based Scalable Clustering Algorithms for Handling Big Data Using Apache Spark	4	2	5	1
Architecting Time-Critical Big-Data Systems	1	0	1	3
A Distributed Graph-Parallel Computing System with Lightweight Communication Overhead	2	2	1	1
Kvasir: Scalable Provision of Semantically Relevant Web Content on Big Data Framework	1	4	2	1
Agile Big Data Analytics for Web-Based Systems: An Architecture-Centric Approach	2	0	0	1
Visual Analytics in Urban Computing: An Overview	2	5	3	0
Clustering Big Spatiotemporal-Interval Data	3	2	0	0
Analyzing Big Smart Metering Data Towards Differentiated User Services: A Sublinear Approach	1	4	2	1
Towards Real-Time Detection and Tracking of Spatio-Temporal Features: Blob-Filaments in Fusion Plasma	1	2	2	1
Guest Editorial: Big Data Analytics and the Web	0	0	0	0
A Recommendation System Based on Hierarchical Clustering of an Article-Level Citation Network	2	5	2	3
Scientific Article Recommendation: Exploiting Common Author Relations and Historical Preferences	1	3	3	2
Universal Nonlinear Regression on High Dimensional Data Using Adaptive Hierarchical Trees	0	5	1	0
Sparse Computation for Large-Scale Data Mining	5	2	3	4
How Long Will This Live? Discovering the Lifespans of Software Engineering Ideas	2	6	1	1
Deduplication on Encrypted Big Data in Cloud	1	2	4	0
Guest Editorial: Special Issue on Big Scholar Data Discovery and Collaboration (Continued)	0	0	1	0
GPU-Accelerated Large-Scale Distributed Sorting Coping with Device Memory Capacity	4	2	3	2
Can Scientific Impact Be Predicted?	2	7	2	3
Partial Copy Detection in Videos: A Benchmark and an Evaluation of Popular Methods	5	2	4	1
Personalized Travel Sequence Recommendation on Multi-Source Big Social Media	2	4	2	0
USTF: A Unified System of Team Formation	4	5	1	3
Visual Exploration of Changes in Passenger Flows and Tweets on Mega-City Metro Network	1	1	3	0
AlgorithmSeer: A System for Extracting and Searching for Algorithms in Scholarly Big Data	2	0	1	1
LS-AMS: An Adaptive Indexing Structure for Realtime Search on Microblogs	1	0	3	1
Scale-Out Processing of Large RDF Datasets	0	2	3	2
Robust Discrete Spectral Hashing for Large-Scale Image Semantic Indexing	1	4	4	0
Learning Visual Semantic Relationships for Efficient Visual Retrieval	1	5	2	0
Guest Editorial: Big Media Data: Understanding, Search, and Mining (Part 2)	0	0	0	0
Weakly Semi-Supervised Deep Learning for Multi-Label Image Annotation	3	3	1	1
Code Consistent Hashing Based on Information-Theoretic Criterion	0	2	3	1
Exploration of Image Search Results Quality Assessment	5	0	2	0
Petuum: A New Platform for Distributed Machine Learning on Big Data	1	2	5	4
SMC: A Practical Schema for Privacy-Preserved Data Sharing over Distributed Data Streams	4	3	1	0
Embracing Information Explosion without Choking: Clustering and Labeling in Microblogging	2	2	1	1
Methodologies for Cross-Domain Data Fusion: An Overview	2	1	1	1
Introduction to the <italic>IEEE Transactions on Big Data</italic>	0	0	1	0
Welcome to the <italic>IEEE Transactions on Big Data</italic>	0	0	1	0
Joint Optimization of Bandwidth for Provider and Delay for User in Software Defined Data Centers	2	6	3	0
Cloud-Based Utility Service Framework for Trust Negotiations Using Federated Identity Management	2	2	3	0
Understanding the Performance and Potential of Cloud Computing for Scientific Applications	1	6	2	0
Adaptive Cloud Deployment Using Persistence Strategies and Application Awareness	2	0	1	0
Self-Adjusting Slot Configurations for Homogeneous and Heterogeneous Hadoop Clusters	1	3	1	1
DyScale: A MapReduce Job Scheduler for Heterogeneous Multicore Processors	1	3	2	5
Designing Self-Tuning Split-Map-Merge Applications for High Cost-Efficiency in the Cloud	0	4	1	4
Off-Peak Energy Optimization for Links in Virtualized Network Environment	5	1	0	1
Tandem Equipment Arranged Architecture with Exhaust Heat Reuse System for Software-Defined Data Center Infrastructure	3	4	0	6
Water-Constrained Geographic Load Balancing in Data Centers	1	2	1	1
On the Latency and Energy Efficiency of Distributed Storage Systems	3	5	3	2
Exploiting Renewable Sources: When Green SLA Becomes a Possible Reality in Cloud Computing	2	4	1	1
Towards Robust Green Virtual Cloud Data Center Provisioning	3	1	0	0
Optimize the Server Provisioning and Request Dispatching in Distributed Memory Cache Services	2	3	3	1
Proactive Thermal-Aware Resource Management in Virtualized HPC Cloud Datacenters	2	0	0	0
An Energy-Efficient Java Virtual Machine	6	0	4	0
Guest Editors¡¯ Introduction: Special Issue on Green and Energy-Efficient Cloud Computing Part II	0	0	1	0
Joint Pricing and Capacity Planning in the IaaS Cloud Market	0	6	1	0
Joint Resource Provisioning for Internet Datacenters with Diverse and Dynamic Traffic	1	4	3	1
kBF: Towards Approximate and Bloom Filter based Key-Value Storage for Cloud Computing Systems	3	5	1	2
Orchestrating Bulk Data Transfers across Geo-Distributed Datacenters	1	3	2	0
Automatic Memory Control of Multiple Virtual Machines on a Consolidated Server	3	4	4	1
Energy-Aware Load Balancing and Application Scaling for the Cloud Ecosystem	1	1	1	0
HFSP: Bringing Size-Based Scheduling To Hadoop	2	1	2	1
Fast, Ad Hoc Query Evaluations over Multidimensional Geospatial Datasets	0	2	2	2
TEES: An Efficient Search Scheme over Encrypted Data on Mobile Cloud	4	2	2	3
Mathematical Programming Approach for Revenue Maximization in Cloud Federations	2	0	0	0
2016 Index IEEE Transactions on Cloud Computing Vol. 4	0	0	1	0
2016 Reviewers List<formula formulatype="inline"><tex Notation="TeX"/></formula>	0	0	0	0
TCC: State of the Transactions	0	0	0	0
Modeling and Placement of Cloud Services with Internal Structure	3	3	1	5
Heuristic-Based Resource Reservation Strategies for Public Cloud	3	2	1	1
M-Convex VM Consolidation: Towards a Better VM Workload Consolidation	6	1	2	4
On Cloud Service Reliability Enhancement with Optimal Resource Usage	1	3	3	2
Inter-Data Center Network Dimensioning under Time-of-Use Pricing	1	5	0	1
Partial Utility-Driven Scheduling for Flexible SLA and Pricing Arbitration in Clouds	2	3	0	0
Whither Tightness of Packing? The Case for Stable VM Placement	9	4	2	4
Efficient Modeling and Demand Allocation for Differentiated Cloud Virtual-Network as-a Service Offerings	2	3	3	1
Moderating Effect of Compliance, Network, and Security on the Critical Success Factors in the Implementation of Cloud ERP	2	0	3	3
Strategy-Proof Pricing for Cloud Service Composition	5	2	4	2
Evaluating and Improving the Performance and Scheduling of HPC Applications in Cloud	1	4	1	1
A Risk Assessment Framework for Cloud Computing	3	0	3	3
Cloud-Assisted Computation Offloading to Support Mobile Services	1	1	2	3
End-to-End Optimization for Geo-Distributed MapReduce	1	5	2	3
Run Time Application Repartitioning in Dynamic Mobile Cloud Environments	2	4	5	4
Planning vs. Dynamic Control: Resource Allocation in Corporate Clouds	2	2	2	3
Securing Loosely-Coupled Collaboration in Cloud Environment through Dynamic Detection and Removal of Access Conflicts	1	1	1	0
A Reference Model for Virtual Machine Launching Overhead	7	4	7	2
Improving Multicore Server Performance and Reducing Energy Consumption by Workload Dependent Dynamic Power Management	11	0	2	7
On Achieving Energy Efficiency and Reducing CO<sub>2</sub> Footprint in Cloud Computing	1	0	2	3
CO<sub>2</sub>-Aware Adaptation Strategies for Cloud Applications	0	1	1	1
Pervasive Cloud Controller for Geotemporal Inputs	1	5	2	0
Decentralized and Energy-Efficient Workload Management in Enterprise Clouds	0	1	2	1
eCope: Workload-Aware Elastic Customization for Power Efficiency of High-End Servers	2	3	1	3
Hierarchical SLA-Driven Resource Management for Peak Power-Aware and Energy-Efficient Operation of a Cloud Datacenter	3	0	0	1
Energy-Efficient Virtual Machines Scheduling in Multi-Tenant Data Centers	1	3	0	2
<italic>EnReal</italic>: An Energy-Aware Resource Allocation Method for Scientific Workflow Executions in Cloud Environment	4	2	0	1
Guest Editors&#x2019; Introduction: Special Issue on Green and Energy-Efficient Cloud Computing: Part I	0	0	1	0
To <italic>Cloudify</italic> or Not to <italic>Cloudify</italic>: The Question for a Scientific Data Center	5	1	1	2
Monetary Cost Optimizations for Hosting Workflow-as-a-Service in IaaS Clouds	2	3	4	1
Application-Level Optimization of Big Data Transfers through Pipelining, Parallelism and Concurrency	1	2	1	4
AutoElastic: Automatic Resource Elasticity for High Performance Applications in the Cloud	2	1	2	1
Dynamic and Fault-Tolerant Clustering for Scientific Workflows	1	4	3	4
Cloud Computing for Earth Surface Deformation Analysis via Spaceborne Radar Imaging: A Case Study	3	3	4	2
OverFlow: Multi-Site Aware Big Data Management for Scientific Workflows on Clouds	4	1	4	1
Ensemble: A Tool for Performance Modeling of Applications in Cloud Data Centers	0	2	2	1
2015 Index IEEE Transactions on Cloud Computing Vol. 3	0	0	1	0
Guest Editors Introduction: Special Issue on Scientific Cloud Computing	0	0	1	0
<italic>IEEE Transactions on Cloud Computing</italic>: Entering Its Fourth Year with Confidence	0	0	1	0
A Message from the New Editor-in-Chief	0	0	0	0
LsPS: A Job Size-Based Scheduler for Efficient Task Assignments in Hadoop	2	2	0	2
Privacy-Preserving Data Storage in CloudUsing Array BP-XOR Codes	1	5	1	3
Towards Optimized Fine-Grained Pricing of IaaS Cloud Platform	2	5	0	2
Workload Prediction Using ARIMA Model and Its Impact on Cloud Applications&#x2019; QoS	2	3	5	1
A Procurement Auction Market to Trade Residual Cloud Computing Capacity	3	2	0	3
Physical Machine Resource Management in Clouds: A Mechanism Design Approach	1	5	1	9
Clabacus: A Risk-Adjusted Cloud Resources Pricing Model Using Financial Option Theory	0	9	1	2
Revenue Maximization with Optimal Capacity Control in Infrastructure as a Service Cloud Markets	2	3	3	5
Agent-Based Interactions and Economic Encounters in an Intelligent InterCloud	5	0	0	6
Market Models for Federated Clouds	0	2	2	0
Spatio-Temporal Load Balancing for Energy Cost Optimization in Distributed Internet Data Centers	1	2	0	2
CHARM: A Cost-Efficient Multi-Cloud Data Hosting Scheme with High Availability	5	1	1	2
Business-Driven Long-Term Capacity Planning for SaaS Applications	5	1	2	3
Implementing Design Diversity Using Portfolio Thinking to Dynamically and Adaptively Manage the Allocation of Web Services in the Cloud	0	4	1	1
An Intelligent Economic Approach for Dynamic Resource Allocation in Cloud Services	6	0	0	1
Exploring Fine-Grained Resource Rental Planning in Cloud Computing	0	7	4	3
Guest Editors' Introduction: Special Issue on Economics and Market Mechanisms for Cloud Computing	0	0	2	0
FastRAQ: A Fast Approach to Range-Aggregate Queries in Big Data Environments	4	2	2	2
Adaptive Workflow Scheduling on Cloud Computing Platforms with IterativeOrdinal Optimization	5	2	5	0
An Efficient Green Control Algorithm in Cloud Computing for Cost Optimization	2	0	1	1
Aggressive Resource Provisioning for Ensuring QoS in Virtualized Environments	1	1	0	2
End-to-End Delay Minimization for Scientific Workflows in Clouds under Budget Constraint	1	4	1	2
A Secure Cloud Computing Based Framework for Big Data Information Management of Smart Grid	3	3	2	2
Deploying Large-Scale Datasets on-Demand in the Cloud: Treats and Tricks on Data Distribution	2	2	3	1
OPoR: Enabling Proof of Retrievability in Cloud Computing with Resource-Constrained Devices	3	4	1	1
PRISM: Fine-Grained Resource-Aware Scheduling for MapReduce	1	3	1	3
Reactive Resource Provisioning Heuristics for Dynamic Dataflows on Cloud Infrastructure	1	3	4	3
CHive: Bandwidth Optimized Continuous Querying in Distributed Clouds	2	0	1	3
Recent advances in autonomic provisioning of big data applications on clouds	0	0	2	0
Learning Social Circles in Ego-Networks Based on Multi-View Network Structure	1	4	5	1
App Miscategorization Detection: A Case Study on Google Play	3	1	4	2
Semiring Rank Matrix Factorization	4	3	3	4
Geo-Social Influence Spanning Maximization	6	8	2	3
VISUAL: Simulation of Visual Subgraph Query Formulation to Enable Automated Performance Benchmarking	2	1	2	1
On Fault Tolerance for Distributed Iterative Dataflow Processing	3	7	3	7
Storing, Tracking, and Querying Provenance in Linked Data	2	5	1	2
Efficient Keyword-Aware Representative Travel Route Recommendation	2	8	2	5
Keyword Search on Temporal Graphs	3	3	2	3
Matching Heterogeneous Events with Patterns	3	4	0	1
Classification Under Streaming Emerging New Classes: A Solution Using Completely-Random Trees	1	2	1	1
Adaptive Ensembling of Semi-Supervised Clustering Solutions	2	2	3	1
Scalable Algorithms for CQA Post Voting Prediction	0	3	1	1
Differentially Private Data Publishing and Analysis: A Survey	1	3	1	1
Bayesian Nonparametric Relational Topic Model through Dependent Gamma Processes	3	4	2	3
