Blog	propagation	discovery	detected	urban	safety	home	extended	every	least	planning	dimensions	trained	topology	baseline	detecting	functional	sensitivity	region	dynamically	consistent	rich	mainly	once	assumptions	having	regarding	learned	likely	contains	daily	massive	ubiquitous	representations	links	predict	paths	finding	potentially	bounded	tree	substantial	choice	realistic	visualization	conduct	matching	reference	retrieval	maximum	larger	powerful	vision	caused	neural	why	question	papers	rapidly	primary	leverages	balance	overhead	vector	loss	entire	helps	scientific	list	combining	final	scales	showing	infrastructures	numerous	implement	difference	text	practices	collaborative	th	contribution	concepts	combined	historical	streaming	basis	live	close	extend	reveals	bandwidth	characterize	contribute	position	commercial	tags	contrast	views	update	meet	product	codes	adapt	define	utilized	sample	providers	his	communities	server	adaptation	concurrent	down	numerical	production	largely	policies	reality	society	established	editors	decisions	game	comes	flexibility	avoid	enhancement	highest	feasibility	m	measured	unfortunately	maps	deliver	inherent	forward	pervasive	year	received	external	developers	identifying	inspired	quantitative	creation	derived	event	decades	bayesian	positive	units	performing	chain	layer	analyzed	relatively	sense	elements	students	wearable	guide	audio	consequently	protocols	department
IEEE Transactions on Big Data	2	9	1	27	5	1	2	2	2	9	2	2	5	2	2	4	1	4	2	4	1	1	1	1	2	2	3	2	3	3	1	1	5	1	5	5	3	2	2	4	2	4	1	7	2	1	3	11	1	4	2	1	1	3	1	5	7	2	2	2	3	12	6	6	3	1	12	4	1	1	2	2	3	1	3	2	6	1	3	1	1	4	1	1	1	1	1	1	1	1	1	1	3	1	2	4	1	1	1	1	1	10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IEEE Transactions on Cloud Computing	2	0	0	0	0	0	3	3	1	21	4	0	1	4	0	0	2	0	11	1	0	2	2	3	1	4	0	0	2	0	2	0	0	6	1	1	3	3	0	0	0	0	1	0	5	1	6	3	2	0	1	0	3	1	1	2	0	2	1	3	5	15	0	1	1	2	34	1	0	0	3	3	6	3	4	0	0	0	1	0	3	2	2	1	3	0	1	0	5	0	18	0	2	0	1	1	2	0	3	1	1	5	3	1	2	0	56	1	1	27	11	4	4	3	4	2	6	1	1	2	4	4	2	3	3	3	4	2	2	2	2	3	3	2	2	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IEEE Transactions on Knowledge & Data Engineering	7	17	2	0	0	0	1	5	1	5	0	2	1	7	5	2	2	6	1	3	5	2	0	0	5	1	4	2	2	1	6	2	3	8	3	3	17	6	3	12	0	1	0	0	10	19	0	11	7	1	0	0	1	2	1	14	0	5	0	4	3	2	1	5	2	2	2	10	2	2	2	2	0	2	1	2	20	0	8	0	1	2	1	7	4	2	1	1	7	1	1	4	2	4	1	1	5	3	2	3	6	2	0	3	2	5	1	3	11	3	0	0	1	1	0	2	0	0	0	2	0	1	2	0	1	3	0	3	1	5	0	2	2	2	4	6	1	1	2	2	1	4	3	2	2	5	12	4	3	8	2	1	1	4	1	1	4	1	0	0	0	0	0	0	0
IEEE Transactions on Learning Technologies	0	3	2	0	0	3	1	0	0	2	2	2	0	1	1	2	1	0	0	0	1	4	0	1	1	6	7	0	3	3	4	19	2	0	7	0	1	0	1	1	1	2	3	9	1	0	3	0	0	0	1	0	0	0	4	9	3	0	6	1	0	0	0	0	0	1	0	2	4	5	0	2	0	1	5	0	5	4	31	0	5	11	4	2	0	4	2	0	1	2	0	1	2	0	0	0	0	3	2	0	0	0	1	4	1	1	0	3	2	1	4	0	0	0	5	2	0	2	1	1	0	6	35	0	1	0	1	0	1	5	4	1	0	2	1	1	0	7	2	1	4	0	1	5	9	2	1	2	0	10	0	2	2	0	7	2	2	4	224	12	2	2	1	0	0
IEEE Transactions on Mobile Computing	12	6	2	4	8	2	8	1	6	0	0	0	8	1	5	1	2	9	4	2	4	5	0	4	2	0	1	0	4	2	1	2	0	9	3	5	1	0	2	1	4	0	9	0	7	0	1	2	7	3	1	0	3	1	0	0	0	1	7	7	0	7	6	8	2	1	0	3	2	1	2	1	1	3	11	1	1	0	4	2	4	0	2	3	9	1	5	5	4	3	11	3	2	3	1	6	0	4	3	2	1	3	1	0	3	2	7	3	2	0	1	5	0	12	0	1	8	0	0	0	0	3	9	0	0	4	2	1	4	0	3	1	4	2	3	5	3	0	9	1	1	1	2	1	0	4	5	0	4	0	1	1	8	21	1	3	5	0	0	1	0	2	4	20	0
IEEE Transactions on Parallel & Distributed Systems	5	1	0	0	0	4	1	4	2	0	2	0	8	2	1	1	0	5	12	0	2	1	2	5	2	2	1	2	0	2	3	1	0	7	0	5	4	3	3	29	4	2	2	0	2	9	0	0	1	6	0	2	1	5	0	4	0	1	2	5	10	16	3	2	3	3	5	1	4	0	6	0	4	2	9	3	0	0	1	1	0	0	1	0	9	0	4	2	4	2	12	4	1	0	2	0	6	1	0	8	1	22	3	3	3	1	7	0	0	19	2	6	2	2	3	2	15	0	0	2	0	1	0	1	3	3	2	2	1	2	1	3	1	2	2	2	0	1	1	3	3	2	3	1	0	1	0	0	0	0	5	2	2	0	4	2	1	0	0	0	0	0	2	4	0
IEEE Transactions on Software Engineering	7	3	7	0	20	0	0	2	4	4	2	3	0	3	8	11	3	0	5	2	0	1	3	2	2	6	0	2	1	0	1	0	0	3	9	10	3	1	2	0	4	2	4	2	3	0	2	2	2	5	5	1	6	0	5	1	1	4	0	1	1	9	1	1	3	3	1	2	0	5	1	1	1	0	5	4	0	6	0	0	4	1	2	3	0	2	5	4	0	3	0	1	4	1	5	0	2	2	7	4	26	0	4	3	0	2	0	0	0	5	8	5	1	2	3	2	6	0	0	0	0	14	3	2	2	1	0	2	1	0	4	2	2	0	1	3	1	0	1	3	47	5	1	5	2	3	4	1	2	1	4	5	2	1	5	1	0	3	5	0	2	0	4	0	0
IEEE Transactions on Pattern Analysis & Machine Intelligence	1	0	1	2	0	0	3	1	0	0	1	7	3	5	4	4	0	21	0	8	4	2	0	0	1	0	11	0	1	1	1	0	8	0	1	0	0	2	0	12	0	0	1	1	3	21	0	8	6	2	4	17	0	10	0	1	0	1	0	2	0	0	10	3	0	0	0	1	2	2	10	1	0	1	1	2	8	0	4	0	3	1	0	0	0	1	0	2	3	3	0	4	1	2	2	5	9	8	0	0	0	1	3	4	2	6	0	0	0	0	6	0	2	2	0	1	0	0	1	1	1	1	0	0	2	1	0	2	0	2	2	0	8	1	2	1	0	0	2	0	0	1	5	2	0	5	18	0	3	2	4	0	0	14	1	2	0	1	0	0	2	0	2	0	0
IEEE/ACM Transactions on Computational Biology and Bioinformatics	1	4	4	0	0	0	1	1	2	4	1	1	7	1	0	11	9	0	0	1	0	5	3	0	0	0	1	2	2	1	2	0	6	4	12	2	1	1	2	14	0	3	0	7	1	9	2	0	7	1	10	0	1	1	0	3	0	0	6	1	2	0	9	7	1	2	1	2	4	3	1	2	0	0	0	1	0	0	0	1	1	1	6	1	0	1	2	1	5	2	0	2	1	2	0	1	3	2	3	1	2	0	1	0	2	5	0	0	3	1	0	1	2	3	1	2	0	1	0	0	2	0	0	0	1	3	1	0	1	1	1	1	1	0	1	1	0	0	0	2	0	9	7	3	0	4	0	2	3	2	0	0	3	0	4	4	0	2	0	0	2	0	1	0	0
IEEE Transactions on Affective Computing	0	0	2	0	0	1	0	1	0	0	13	9	0	15	5	2	4	0	1	5	3	1	0	1	4	0	6	5	4	6	1	3	2	0	13	0	2	1	0	0	0	1	3	0	1	5	5	8	1	1	2	6	2	1	0	5	2	1	0	1	0	0	4	1	0	1	1	5	3	3	3	2	0	0	1	4	0	0	0	1	1	3	3	0	0	1	0	2	1	1	0	7	0	5	1	2	6	0	0	0	1	1	3	1	2	1	1	1	5	1	1	2	2	1	6	0	0	4	1	4	0	2	10	0	1	0	0	3	5	0	4	0	0	1	0	1	2	0	2	1	0	5	2	2	2	4	1	2	4	9	6	2	0	1	6	1	1	0	3	7	0	40	2	2	0
